index,year,qtr,gdp
1,1955,1,121747
2,1955,2,121765
3,1955,3,124204
4,1955,4,123527
5,1956,1,124881
6,1956,2,124751
7,1956,3,124594
8,1956,4,125329
9,1957,1,127685
10,1957,2,127644
11,1957,3,126847
12,1957,4,127203
13,1958,1,130017
14,1958,2,126750
15,1958,3,129561
16,1958,4,129911
17,1959,1,130713
18,1959,2,132823
19,1959,3,135648
20,1959,4,139094
21,1960,1,142565
22,1960,2,141565
23,1960,3,143674
24,1960,4,144509
25,1961,1,146876
26,1961,2,147484
27,1961,3,146753
28,1961,4,146476
29,1962,1,147109
30,1962,2,148500
31,1962,3,149408
32,1962,4,148870
33,1963,1,149550
34,1963,2,156027
35,1963,3,156716
36,1963,4,160273
37,1964,1,161333
38,1964,2,164347
39,1964,3,164952
40,1964,4,167430
41,1965,1,166975
42,1965,2,167074
43,1965,3,168424
44,1965,4,169502
45,1966,1,169749
46,1966,2,170745
47,1966,3,171303
48,1966,4,170622
49,1967,1,172902
50,1967,2,175314
51,1967,3,176021
52,1967,4,176978
53,1968,1,183476
54,1968,2,182717
55,1968,3,186277
56,1968,4,186998
57,1969,1,186620
58,1969,2,188017
59,1969,3,189030
60,1969,4,189939
61,1970,1,188748
62,1970,2,193258
63,1970,3,195099
64,1970,4,196872
65,1971,1,195942
66,1971,2,199456
67,1971,3,202884
68,1971,4,203687
69,1972,1,204098
70,1972,2,209482
71,1972,3,210040
72,1972,4,213318
73,1973,1,223780
74,1973,2,224213
75,1973,3,222122
76,1973,4,221266
77,1974,1,215122
78,1974,2,218215
79,1974,3,219517
80,1974,4,216301
81,1975,1,216390
82,1975,2,212882
83,1975,3,212192
84,1975,4,214585
85,1976,1,218180
86,1976,2,217883
87,1976,3,220587
88,1976,4,225228
89,1977,1,225362
90,1977,2,223815
91,1977,3,225295
92,1977,4,229115
93,1978,1,231258
94,1978,2,233910
95,1978,3,237107
96,1978,4,239186
97,1979,1,238472
98,1979,2,248867
99,1979,3,243369
100,1979,4,245858
101,1980,1,243513
102,1980,2,238722
103,1980,3,238432
104,1980,4,235866
105,1981,1,235712
106,1981,2,236272
107,1981,3,238846
108,1981,4,239131
109,1982,1,239578
110,1982,2,242095
111,1982,3,242639
112,1982,4,244317
113,1983,1,249032
114,1983,2,250761
115,1983,3,253655
116,1983,4,255533
117,1984,1,257683
118,1984,2,255100
119,1984,3,256975
120,1984,4,261627
121,1985,1,264127
122,1985,2,269787
123,1985,3,269737
124,1985,4,269896
125,1986,1,272720
126,1986,2,275136
127,1986,3,276863
128,1986,4,282193
129,1987,1,284172
130,1987,2,288385
131,1987,3,295493
132,1987,4,298855
133,1988,1,303698
134,1988,2,305281
135,1988,3,309097
136,1988,4,311574
137,1989,1,313083
138,1989,2,315039
139,1989,3,315554
140,1989,4,315515
141,1990,1,317117
142,1990,2,319239
143,1990,3,315744
144,1990,4,314148
145,1991,1,312596
146,1991,2,312235
147,1991,3,311624
148,1991,4,312006
149,1992,1,311904
150,1992,2,311418
151,1992,3,312896
152,1992,4,315307
153,1993,1,316882
154,1993,2,318302
155,1993,3,321218
156,1993,4,323400
157,1994,1,326585
158,1994,2,329584
159,1994,3,332911
160,1994,4,334363
161,1995,1,336090
162,1995,2,336789
163,1995,3,340542
164,1995,4,341602
165,1996,1,343859
166,1996,2,344979
167,1996,3,348214
168,1996,4,352958
169,1997,1,358611
170,1997,2,362573
171,1997,3,365942
172,1997,4,371341
173,1998,1,374037
174,1998,2,376421
175,1998,3,377650
176,1998,4,380155
177,1999,1,382789
178,1999,2,384605
179,1999,3,390758
180,1999,4,396357
181,2000,1,401242
182,2000,2,404196
183,2000,3,406795
184,2000,4,409411
185,2001,1,413054
186,2001,2,414878
187,2001,3,417085
188,2001,4,418445
189,2002,1,419534
190,2002,2,421587
191,2002,3,424425
192,2002,4,427725
193,2003,1,430832
194,2003,2,434837
195,2003,3,438710
196,2003,4,442172
197,2004,1,443853
198,2004,2,446443
199,2004,3,448171
200,2004,4,450464
201,2005,1,453784
202,2005,2,457557
203,2005,3,461135
204,2005,4,465451
205,2006,1,467840
206,2006,2,469655
207,2006,3,470918
208,2006,4,473372
209,2007,1,477823
210,2007,2,481314
211,2007,3,484544
212,2007,4,487413
213,2008,1,489783
214,2008,2,487386
215,2008,3,479872
216,2008,4,469694
217,2009,1,460105
218,2009,2,458599
219,2009,3,458875
220,2009,4,460238
221,2010,1,464543
222,2010,2,469606
223,2010,3,472199
224,2010,4,472612
225,2011,1,473819
226,2011,2,474365
227,2011,3,475813
228,2011,4,476479
229,2012,1,480632
230,2012,2,479979
231,2012,3,484579
232,2012,4,484039
233,2013,1,485409
234,2013,2,488930
235,2013,3,493002
236,2013,4,496466
237,2014,1,500552
238,2014,2,504939
239,2014,3,508741
240,2014,4,512334
241,2015,1,513850
242,2015,2,516876
243,2015,3,518915
244,2015,4,521920
245,2016,1,523813
246,2016,2,526750
247,2016,3,528712
248,2016,4,532082
249,2017,1,536566
250,2017,2,540020
251,2017,3,543452
252,2017,4,547377
253,2018,1,547688
254,2018,2,548600
255,2018,3,550425
256,2018,4,551128
257,2019,1,555141
258,2019,2,556932
259,2019,3,560987
260,2019,4,560861
261,2020,1,545597
262,2020,2,434718
263,2020,3,507643
264,2020,4,514531
265,2021,1,509261
266,2021,2,546579
267,2021,3,555956
268,2021,4,564407
269,2022,1,567396
270,2022,2,567889
271,2022,3,567445
272,2022,4,568034
273,2023,1,569027
274,2023,2,569076
275,2023,3,568397
276,2023,4,566626
